PATH,SOURCE,ROOT,STATIONS
p1,e1,e4,"s1,s2,s3"
p2,e1,e5,"s1,s2,s3"
p3,e1,e6,"s1,s2,s3,s4"
p4,e1,e7,"s1,s2,s3,s4"
p5,e1,e8,"s1,s2,s3,s4,s5,s6"
p6,e2,e5,s3
p7,e2,e6,"s3,s4"
p8,e2,e7,"s3,s4"
p9,e2,e8,"s3,s4,s5,s6"
p10,e3,e6,"s3,s4"
p11,e3,e7,"s3,s4"
p12,e3,e8,"s3,s4,s5,s6"
p13,e4,e1,"s3,s2,s1"
p14,e4,e7,s4
p15,e4,e8,"s4,s5,s6"
p16,e5,e1,"s3,s2,s1"
p17,e5,e2,s3
p18,e5,e8,"s4,s5,s6"
p19,e6,e1,"s4,s3,s2,s1"
p20,e6,e2,"s4,s3"
p21,e6,e3,"s4,s3"
p22,e7,e1,"s4,s3,s2,s1"
p23,e7,e2,"s4,s3"
p24,e7,e3,"s4,s3"
p25,e7,e4,s4
p26,e8,e1,"s6,s5,s4,s3,s2,s1"
p27,e8,e2,"s6,s5,s4,s3"
p28,e8,e3,"s6,s5,s4,s3"
p29,e8,e4,"s6,s5,s4"
p30,e8,e5,"s6,s5,s4"
