node_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
s1,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.67,0.67,0.67,0.93,0.93,0.93,0.67,0.67,0.67,0.67,0.93,0.93,0.93,0.93,0.93,0.67,0.41
s2,0.32,0.32,0.32,0.32,0.32,0.32,0.65,0.65,0.98,0.98,0.65,0.65,0.32,0.32,0.65,0.65,0.98,0.98,0.98,0.98,0.98,0.98,0.65,0.65
s3,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.33,0.23,0.23,0.23,0.33,0.7,1.07,1.23,1.23,1.07,1.07,0.7,0.7,0.7
s4,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.33,0.23,0.23,0.23,0.33,0.7,1.07,1.23,1.23,1.07,1.07,0.7,0.7,0.7
s5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.33,0.23,0.23,0.23,0.33,0.7,1.07,1.23,1.23,1.07,1.07,0.7,0.7,0.7
s6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.33,0.23,0.23,0.23,0.33,0.7,1.07,1.23,1.23,1.07,1.07,0.7,0.7,0.7
s7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.32,0.22,0.22,0.22,0.32,0.69,0.69,1.2,1.2,1.2,1.05,1.05,0.69,0.69
s8,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.32,0.22,0.22,0.22,0.32,0.69,0.69,1.2,1.2,1.2,1.05,1.05,0.69,0.69
s9,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.32,0.22,0.22,0.22,0.32,0.69,0.69,1.2,1.2,1.2,1.05,1.05,0.69,0.69
s10,0.34,0.34,0.34,0.34,0.34,0.34,0.67,0.67,1.01,1.01,0.67,0.67,0.34,0.34,0.67,0.67,1.01,1.01,1.01,1.01,1.01,1.01,0.67,0.67
s11,0.31,0.31,0.31,0.31,0.31,0.31,0.67,0.67,1.16,1.16,1.16,1.16,1.16,1.16,1.16,0.67,0.67,0.67,1.16,1.16,1.16,0.67,0.31,0.31
