node_idx,distance,time,weekday,direction,demand
s1,14.0,0,1,bj,1
s1,14.0,1,1,bj,1
s1,14.0,2,1,bj,0
s1,14.0,3,1,bj,0
s1,14.0,4,1,bj,0
s1,14.0,5,1,bj,1
s1,14.0,6,1,bj,1
s1,14.0,7,1,bj,1
s1,14.0,8,1,bj,2
s1,14.0,9,1,bj,3
s1,14.0,10,1,bj,3
s1,14.0,11,1,bj,3
s1,14.0,12,1,bj,4
s1,14.0,13,1,bj,3
s1,14.0,14,1,bj,3
s1,14.0,15,1,bj,4
s1,14.0,16,1,bj,6
s1,14.0,17,1,bj,5
s1,14.0,18,1,bj,3
s1,14.0,19,1,bj,4
s1,14.0,20,1,bj,4
s1,14.0,21,1,bj,4
s1,14.0,22,1,bj,1
s1,14.0,23,1,bj,3
s1,14.0,0,2,bj,1
s1,14.0,1,2,bj,0
s1,14.0,2,2,bj,0
s1,14.0,3,2,bj,0
s1,14.0,4,2,bj,0
s1,14.0,5,2,bj,0
s1,14.0,6,2,bj,1
s1,14.0,7,2,bj,2
s1,14.0,8,2,bj,2
s1,14.0,9,2,bj,3
s1,14.0,10,2,bj,2
s1,14.0,11,2,bj,3
s1,14.0,12,2,bj,3
s1,14.0,13,2,bj,3
s1,14.0,14,2,bj,4
s1,14.0,15,2,bj,3
s1,14.0,16,2,bj,4
s1,14.0,17,2,bj,4
s1,14.0,18,2,bj,4
s1,14.0,19,2,bj,4
s1,14.0,20,2,bj,5
s1,14.0,21,2,bj,3
s1,14.0,22,2,bj,2
s1,14.0,23,2,bj,4
s1,14.0,0,3,bj,1
s1,14.0,1,3,bj,0
s1,14.0,2,3,bj,0
s1,14.0,3,3,bj,0
s1,14.0,4,3,bj,0
s1,14.0,5,3,bj,0
s1,14.0,6,3,bj,2
s1,14.0,7,3,bj,1
s1,14.0,8,3,bj,3
s1,14.0,9,3,bj,3
s1,14.0,10,3,bj,2
s1,14.0,11,3,bj,2
s1,14.0,12,3,bj,4
s1,14.0,13,3,bj,4
s1,14.0,14,3,bj,3
s1,14.0,15,3,bj,4
s1,14.0,16,3,bj,5
s1,14.0,17,3,bj,3
s1,14.0,18,3,bj,6
s1,14.0,19,3,bj,4
s1,14.0,20,3,bj,3
s1,14.0,21,3,bj,3
s1,14.0,22,3,bj,1
s1,14.0,23,3,bj,2
s1,14.0,0,4,bj,1
s1,14.0,1,4,bj,0
s1,14.0,2,4,bj,0
s1,14.0,3,4,bj,0
s1,14.0,4,4,bj,0
s1,14.0,5,4,bj,1
s1,14.0,6,4,bj,2
s1,14.0,7,4,bj,1
s1,14.0,8,4,bj,2
s1,14.0,9,4,bj,2
s1,14.0,10,4,bj,3
s1,14.0,11,4,bj,2
s1,14.0,12,4,bj,2
s1,14.0,13,4,bj,3
s1,14.0,14,4,bj,3
s1,14.0,15,4,bj,3
s1,14.0,16,4,bj,2
s1,14.0,17,4,bj,5
s1,14.0,18,4,bj,5
s1,14.0,19,4,bj,4
s1,14.0,20,4,bj,4
s1,14.0,21,4,bj,3
s1,14.0,22,4,bj,2
s1,14.0,23,4,bj,4
s1,14.0,0,5,bj,1
