node_idx,distance,time,weekday,demand
s1,14.0,0,1,2
s1,14.0,0,2,2
s1,14.0,0,3,2
s1,14.0,0,4,2
s1,14.0,0,5,2
s1,14.0,0,6,2
s1,14.0,0,7,2
s1,14.0,1,1,2
s1,14.0,1,2,0
s1,14.0,1,3,0
s1,14.0,1,4,0
s1,14.0,1,5,0
s1,14.0,1,6,2
s1,14.0,1,7,0
s1,14.0,2,1,0
s1,14.0,2,2,0
s1,14.0,2,3,0
s1,14.0,2,4,0
s1,14.0,2,5,0
s1,14.0,2,6,0
s1,14.0,2,7,0
s1,14.0,3,1,0
s1,14.0,3,2,0
s1,14.0,3,3,0
s1,14.0,3,4,0
s1,14.0,3,5,0
s1,14.0,3,6,0
s1,14.0,3,7,0
s1,14.0,4,1,0
s1,14.0,4,2,0
s1,14.0,4,3,0
s1,14.0,4,4,0
s1,14.0,4,5,0
s1,14.0,4,6,0
s1,14.0,4,7,0
s1,14.0,5,1,2
s1,14.0,5,2,0
s1,14.0,5,3,0
s1,14.0,5,4,2
s1,14.0,5,5,0
s1,14.0,5,6,0
s1,14.0,5,7,0
s1,14.0,6,1,2
s1,14.0,6,2,2
s1,14.0,6,3,4
s1,14.0,6,4,4
s1,14.0,6,5,4
s1,14.0,6,6,2
s1,14.0,6,7,2
s1,14.0,7,1,2
s1,14.0,7,2,4
s1,14.0,7,3,2
s1,14.0,7,4,2
s1,14.0,7,5,4
s1,14.0,7,6,2
s1,14.0,7,7,4
s1,14.0,8,1,4
s1,14.0,8,2,4
s1,14.0,8,3,6
s1,14.0,8,4,4
s1,14.0,8,5,8
s1,14.0,8,6,4
s1,14.0,8,7,6
s1,14.0,9,1,6
s1,14.0,9,2,6
s1,14.0,9,3,6
s1,14.0,9,4,4
s1,14.0,9,5,6
s1,14.0,9,6,6
s1,14.0,9,7,6
s1,14.0,10,1,6
s1,14.0,10,2,4
s1,14.0,10,3,4
s1,14.0,10,4,6
s1,14.0,10,5,6
s1,14.0,10,6,8
s1,14.0,10,7,4
s1,14.0,11,1,6
s1,14.0,11,2,6
s1,14.0,11,3,4
s1,14.0,11,4,4
s1,14.0,11,5,6
s1,14.0,11,6,10
s1,14.0,11,7,4
s1,14.0,12,1,8
s1,14.0,12,2,6
s1,14.0,12,3,8
s1,14.0,12,4,4
s1,14.0,12,5,8
s1,14.0,12,6,8
s1,14.0,12,7,6
s1,14.0,13,1,6
s1,14.0,13,2,6
s1,14.0,13,3,8
s1,14.0,13,4,6
