node_idx,node_name,Lat,Lng
s1,蔚来换电站G2高速马驹桥服务区,39.76193,116.562926
s2,蔚来换电站(泗村店服务区北京方向),39.44629,116.93159
s3,蔚来换电站(G2京沪高速乐陵西服务区北京方向),37.73651,117.11062
s4,蔚来换电站(济南唐冶春江悦茗),36.68668,117.21932
s5,蔚来换电站G2京沪高速沂南服务区北京方向,35.46943,118.22069
s6,蔚来换电站(临沂南服务区上海方向),34.83255,118.21162
s7,蔚来换电站G2京沪高速新沂服务区上海方向,34.32982,118.54245
s8,蔚来换电站G2京沪高速平桥服务区(北京方向),33.42354,119.26653
s9,上海方向G2京沪高速江都服务区蔚来换电站(上海方向),32.40845,119.669
s10,蔚来换电站G2京沪高速堰桥服务区北京方向,31.67889,120.33263
s11,蔚来换电站(上海维马纳科创中心),31.23197,121.32542
e1,G2京沪高速入口(西北向),39.857496,116.461564
e2,西花园收费站入口(北京方向),38.40272,116.8482
e3,莱芜高新区出口(G2京沪高速东向),36.25812,117.72088
e4,郯城出口(G2京沪高速南向),34.643415,118.24564
e5,八桥出口(G2京沪高速北向),32.68409,119.54992
e6,真华南路出口(G2京沪高速东向),31.24531,121.39418
