PATH,SOURCE,ROOT,STATIONS
p1,e1,e3,"s1,s2,s3,s4"
p2,e1,e4,"s1,s2,s3,s4,s5,s6"
p3,e1,e5,"s1,s2,s3,s4,s5,s6,s7,s8"
p4,e1,e6,"s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11"
p5,e2,e3,"s3,s4"
p6,e2,e4,"s3,s4,s5,s6"
p7,e2,e5,"s3,s4,s5,s6,s7,s8"
p8,e2,e6,"s3,s4,s5,s6,s7,s8,s9,s10,s11"
p9,e3,e1,"s4,s3,s2,s1"
p10,e3,e2,"s4,s3"
p11,e3,e5,"s5,s6,s7,s8"
p12,e3,e6,"s5,s6,s7,s8,s9,s10,s11"
p13,e4,e1,"s6,s5,s4,s3,s2,s1"
p14,e4,e2,"s6,s5,s4,s3"
p15,e4,e5,"s7,s8"
p16,e4,e6,"s7,s8,s9,s10,s11"
p17,e5,e1,"s8,s7,s6,s5,s4,s3,s2,s1"
p18,e5,e2,"s8,s7,s6,s5,s4,s3"
p19,e5,e3,"s8,s7,s6,s5"
p20,e5,e4,"s8,s7"
p21,e5,e6,"s9,s10,s11"
p22,e6,e1,"s11,s10,s9,s8,s7,s6,s5,s4,s3,s2,s1"
p23,e6,e2,"s11,s10,s9,s8,s7,s6,s5,s4,s3"
p24,e6,e3,"s11,s10,s9,s8,s7,s6,s5"
p25,e6,e4,"s11,s10,s9,s8,s7"
p26,e6,e5,"s11,s10,s9"
