,s1,s2,s3,s4,s5,s6,e1,e2,e3,e4,e5,e6,e7,e8
s1,0.0,47.0,241.0,361.0,528.0,599.0,-14.0,80.0,163.0,265.0,326.0,426.0,493.0,620.0
s2,-47.0,0.0,194.0,314.0,481.0,552.0,-61.0,33.0,116.0,218.0,279.0,379.0,446.0,573.0
s3,-241.0,-194.0,0.0,120.0,287.0,358.0,-255.0,-161.0,-78.0,24.0,85.0,185.0,252.0,379.0
s4,-361.0,-314.0,-120.0,0.0,167.0,238.0,-375.0,-281.0,-198.0,-96.0,-35.0,65.0,132.0,259.0
s5,-528.0,-481.0,-287.0,-167.0,0.0,71.0,-542.0,-448.0,-365.0,-263.0,-202.0,-102.0,-35.0,92.0
s6,-599.0,-552.0,-358.0,-238.0,-71.0,0.0,-613.0,-519.0,-436.0,-334.0,-273.0,-173.0,-106.0,21.0
e1,14.0,61.0,255.0,375.0,542.0,613.0,0.0,94.0,177.0,279.0,340.0,440.0,507.0,634.0
e2,-80.0,-33.0,161.0,281.0,448.0,519.0,-94.0,0.0,83.0,185.0,246.0,346.0,413.0,540.0
e3,-163.0,-116.0,78.0,198.0,365.0,436.0,-177.0,-83.0,0.0,102.0,163.0,263.0,330.0,457.0
e4,-265.0,-218.0,-24.0,96.0,263.0,334.0,-279.0,-185.0,-102.0,0.0,61.0,161.0,228.0,355.0
e5,-326.0,-279.0,-85.0,35.0,202.0,273.0,-340.0,-246.0,-163.0,-61.0,0.0,100.0,167.0,294.0
e6,-426.0,-379.0,-185.0,-65.0,102.0,173.0,-440.0,-346.0,-263.0,-161.0,-100.0,0.0,67.0,194.0
e7,-493.0,-446.0,-252.0,-132.0,35.0,106.0,-507.0,-413.0,-330.0,-228.0,-167.0,-67.0,0.0,127.0
e8,-620.0,-573.0,-379.0,-259.0,-92.0,-21.0,-634.0,-540.0,-457.0,-355.0,-294.0,-194.0,-127.0,0.0
