job_id,horizon,weekday,day_id,net_profit_yuan,service_income_yuan,charging_cost_yuan,adjustment_cost_yuan,reservation_failure_cost_yuan,reservation_count,actual_random_count,reservation_failures,reservation_failure_rate,reservation_completed,reservation_unfinished_at_L,reservation_unfinished_rate_at_L,reservation_unfinished_after_cleanup,random_services,random_service_rate,mean_wait_minutes_served,path_adjustments,solver_seconds_mean,solver_seconds_p95,model_wall_seconds_mean,model_wall_seconds_p95,model_wall_seconds_total,mip_gap_mean,mip_gap_max,mip_gap_target_met_fraction,completed_periods,demand_periods,cleanup_periods,cleanup_hours,time_limit_fraction,final_inventory_kwh,random_timeouts,operating_duration_hours,max_power_correction_kw,max_station_excess_kw,max_soc_balance_residual,cleanup_net_profit_yuan,actual_legs_below_pruning_threshold,selected_legs_below_pruning_threshold,demand_solver_seconds_mean,demand_solver_seconds_p95,demand_time_limit_fraction,demand_gap_met_fraction,mean_model_binary_variables,final_full_batteries,final_mean_soc,cleanup_service_income_yuan,cleanup_charging_cost_yuan,cleanup_adjustment_cost_yuan,cleanup_failure_cost_yuan
h4_day01,4,1,1,-93653.26717971961,25504.78741950999,638.0545992296103,520.0,118000.0,200,200,118,0.59,82,20,0.1,0,121,0.605,11.665398423670947,52,0.09769579016644021,0.23250064849853513,0.2125570686951624,0.3641593600012129,24.444062899943674,7.466142149400908e-07,8.586063471811045e-05,1.0,115,96,19,4.75,0.0,6995.9186197741,79,24.0,0.0,0.0,4.893030425279221e-13,-18729.6638225901,39,3120,0.11507304509480794,0.2362499237060547,0.0,1.0,2535.0208333333335,12,0.279836744790964,280.33617740989996,2.816591404553039e-13,10.0,19000.0
h4_day37,4,2,37,-95857.02743548663,25416.770809986418,803.7982454730326,470.0,120000.0,200,200,120,0.6,80,17,0.085,0,124,0.62,12.458501554975348,47,0.10450466548170999,0.22580146789550765,0.21629724205579287,0.35243562001560347,23.143804899969837,5.624969251259471e-11,5.076921448298763e-09,1.0,107,96,11,2.75,0.0,7490.28672376,76,24.0,0.0,0.0,4.991285162958548e-13,-16010.0,50,3661,0.11580208937327068,0.23125123977661133,0.0,1.0,2500.0,20,0.29961146895040003,0.0,7.059242079776593e-14,10.0,16000.0
h4_day03,4,3,3,-92219.57581630923,26023.997537763724,723.5733540729476,520.0,117000.0,200,200,117,0.585,83,18,0.09,0,122,0.61,12.513358265481836,52,0.11364491186409353,0.25479907989501926,0.22637966728690906,0.40609227000095416,24.22262439969927,1.2221904659594295e-06,6.973997774471586e-05,1.0,107,96,11,2.75,0.0,6690.5235504839,78,24.0,0.0,0.0,4.956359269021621e-12,-16020.0,57,3656,0.12608335415522257,0.2644991874694824,0.0,1.0,2501.8125,8,0.267620942019356,0.0,9.663381206337363e-15,20.0,16000.0
h4_day04,4,4,4,-91381.92637498092,25443.894925101325,475.82130008223453,350.0,116000.0,200,200,116,0.58,84,18,0.09,0,117,0.585,11.443819577583074,35,0.08581482922589337,0.19965028762817383,0.19127137037058775,0.32407338999328195,20.657308000023477,0.0,0.0,1.0,108,96,12,3.0,0.0,7094.0771584484,83,24.0,0.0,0.0,4.830580380144056e-13,-18000.0,38,2771,0.09555212656656902,0.20050048828125,0.0,1.0,2348.6875,14,0.283763086337936,0.0,2.771116669464394e-13,0.0,18000.0
h4_day19,4,5,19,-94355.02754158975,25990.629673538628,855.6572151283935,490.0,119000.0,200,200,119,0.595,81,18,0.09,0,128,0.64,11.677867345426591,49,0.09369147826578016,0.21959953308105426,0.20184628411346314,0.3463642400049138,21.597552400140557,1.0221359578376112e-06,9.104755226505434e-05,1.0,107,96,11,2.75,0.0,6862.342539294801,72,24.0,0.0,0.0,4.969635813978357e-13,-15951.17401150133,55,3407,0.1037186582883199,0.23224925994873047,0.0,1.0,2417.15625,7,0.27449370157179204,68.82598849867021,3.3395508580724704e-14,20.0,16000.0
h4_day13,4,6,13,-112004.81449225164,24621.297544058558,206.1120363101885,420.0,136000.0,200,200,136,0.68,64,17,0.085,0,132,0.66,11.867490753424796,42,0.08587844349513545,0.19680023193359358,0.19483053551281793,0.35260313001053856,20.84686729987152,6.246274061586446e-07,6.683513245897497e-05,1.0,107,96,11,2.75,0.0,7229.1294411253,68,24.0,0.0,0.0,4.936051567483446e-13,-15020.0,55,3978,0.09514576196670532,0.2012500762939453,0.0,1.0,2438.0104166666665,12,0.289165177645012,0.0,1.4580336937797266e-13,20.0,15000.0
h4_day14,4,7,14,-97474.43544520813,25889.899357501068,934.3348027092011,430.0,122000.0,200,200,122,0.61,78,15,0.075,0,129,0.645,11.93120892170725,43,0.10814816863448531,0.23490056991577143,0.22782660185071613,0.3881828750076238,24.605272999877343,0.0,0.0,1.0,108,96,12,3.0,0.0,7021.372880854399,71,24.0,0.0,0.0,3.0487902459521046e-12,-14020.0,48,3263,0.1209062139193217,0.2382512092590332,0.0,1.0,2679.3125,13,0.280854915234176,0.0,1.3034906487519045e-13,20.0,14000.0
h5_day01,5,1,1,-77914.81483105653,28369.891695860177,1694.7065269167217,590.0,104000.0,200,200,104,0.52,96,27,0.135,0,122,0.61,10.813985603257157,59,0.15059635095429003,0.3764000892639159,0.27189365526346754,0.5128368100005899,30.995876700035296,2.496797924014363e-06,8.763529400047296e-05,1.0,114,96,18,4.5,0.0,6662.337143241899,78,24.0,0.0,0.0,2.2939983246317297e-12,-25930.795337671636,40,3107,0.1773956815401713,0.39225006103515625,0.0,1.0,2797.8541666666665,15,0.26649348572967596,101.60817110026998,12.40350877190549,20.0,26000.0
h5_day37,5,2,37,-87352.09911085441,27910.321346964047,1722.4204578184604,540.0,113000.0,200,200,113,0.565,87,22,0.11,0,128,0.64,11.700447812097039,54,0.15025223441745925,0.4485000610351562,0.26943268869628967,0.5927081300033022,30.984759200073313,2.323250999278322e-06,9.012865333163157e-05,1.0,115,96,19,4.75,0.0,7158.360398807601,72,24.0,0.0,0.0,4.995170943544736e-13,-20942.453333333382,50,3653,0.17881258328755698,0.46124935150146484,0.0,1.0,2779.53125,18,0.286334415952304,67.546666666617,3.9623415659662043e-13,10.0,21000.0
h5_day03,5,3,3,-80474.46667475483,29097.946918593283,1972.4135933481036,600.0,107000.0,200,200,107,0.535,93,23,0.115,0,124,0.62,12.07474025154528,60,0.17973641482266514,0.494349956512451,0.3015971863623814,0.6424750049991416,33.17569049986196,1.3939744357746472e-06,8.372191544066669e-05,1.0,110,96,14,3.5,0.0,6254.3348562766,76,24.0,0.0,0.0,4.935496455971133e-13,-21020.0,57,3654,0.20491671562194824,0.5200004577636719,0.0,1.0,2787.9375,8,0.250173394251064,0.0,2.0285995105950848e-13,20.0,21000.0
h5_day04,5,4,4,-77841.39238329025,28027.396814382642,1428.7891976729122,440.0,104000.0,200,200,104,0.52,96,21,0.105,0,119,0.595,11.57103711424548,44,0.11719850509885758,0.3359990119934082,0.22504728253850426,0.48226237500057323,28.355957599851536,9.6736934282961e-07,9.528813935041033e-05,1.0,126,96,30,7.5,0.0,6761.8686610382,81,24.0,0.0,0.0,4.93050045236032e-13,-18567.27787677905,39,2770,0.150489608446757,0.349001407623291,0.0,1.0,2596.3541666666665,14,0.270474746441528,567.0158434392999,124.2937202183506,10.0,19000.0
h5_day19,5,5,19,-79954.23162883695,30015.49393940198,2369.7255682389186,600.0,107000.0,200,200,107,0.535,93,20,0.1,0,134,0.67,10.954933899457023,60,0.14436585341042618,0.3558990478515625,0.2563934243883752,0.5177061800030057,31.53639119977015,1.7647034090926967e-06,7.025188508388009e-05,1.0,123,96,27,6.75,0.0,6301.223220777701,66,24.0,0.0,0.0,4.969635813978357e-13,-17765.734032321965,55,3407,0.18262503544489542,0.42925071716308594,0.0,1.0,2690.8333333333335,5,0.252048928831108,308.4043647834442,64.13839710540958,10.0,18000.0
h5_day13,5,6,13,-96003.33631241092,27846.22113141554,1339.5574438264666,510.0,122000.0,200,200,122,0.61,78,22,0.11,0,135,0.675,11.77525775942258,51,0.13481876767914872,0.36999940872192383,0.25088898793107767,0.5381958000070881,29.10312260000501,7.161863772931243e-07,8.307761976600241e-05,1.0,116,96,20,5.0,0.0,6678.2542303786995,65,24.0,0.0,0.0,5.864753127582389e-13,-19963.349606160693,55,3972,0.16155185302098593,0.37849903106689453,0.0,1.0,2710.46875,12,0.267130169215148,69.053902611286,12.403508771979183,20.0,20000.0
h5_day14,5,7,14,-86602.75469710231,28665.87788079676,1768.6325778990436,500.0,113000.0,200,200,113,0.565,87,19,0.095,0,135,0.675,11.811833714360342,50,0.1562222021597403,0.38664875030517526,0.287113705555115,0.5490074299930708,31.008280199952424,1.7365824965593427e-06,7.480301145234745e-05,1.0,108,96,12,3.0,0.0,6451.7526106898,65,24.0,0.0,0.0,4.981570711493077e-13,-16840.934431245816,48,3261,0.17472918828328451,0.4109992980957031,0.0,1.0,2956.4583333333335,12,0.25807010442759204,183.86556875418424,4.800000000000148,20.0,17000.0
h6_day01,6,1,1,-48134.62476245131,35012.35403171973,4346.978794171069,800.0,78000.0,200,200,78,0.39,122,31,0.155,0,139,0.695,11.557387094607202,80,1.3812086519987687,0.8389003753662108,1.5186599399998237,1.011991109990049,174.64589309997973,2.117082928032769e-05,0.002036280739253663,0.991304347826087,115,96,19,4.75,0.008695652173913044,5667.5437934915,61,24.0,0.0,0.0,4.893030425279221e-13,-27594.568428384384,44,3119,1.6504583358764648,0.9022512435913086,0.010416666666666666,0.9895833333333334,3122.5,10,0.22670175173966,455.638601006195,30.207029390578484,20.0,28000.0
h6_day37,6,2,37,-42784.36595259729,36592.13476767216,5486.500720269496,890.0,73000.0,200,200,73,0.365,127,25,0.125,0,142,0.71,13.12023335474324,89,0.5231637461432095,1.7554998397827148,0.6596274301738394,1.9337984250159934,76.51678190016537,3.918466611716778e-06,9.971423522904566e-05,1.0,116,96,20,5.0,0.0,6190.7781457276005,58,24.0,0.0,0.0,5.74429392941056e-13,-21770.3608076078,52,3657,0.6277082761128744,1.9605002403259277,0.0,1.0,3108.3645833333335,11,0.24763112582910402,342.80235028708097,83.16315789488246,30.0,22000.0
h6_day03,6,3,3,-35681.534526331416,37544.89162784038,5476.426154171801,750.0,67000.0,200,200,67,0.335,133,26,0.13,0,134,0.67,12.429311268180486,75,1.677739848935507,2.530799865722656,1.8140809495937613,2.7606741299881827,223.13195680003264,2.3549224928554343e-05,0.0027264736322072515,0.991869918699187,123,96,27,6.75,0.008130081300813009,5003.8739353942,66,24.0,0.0,0.0,9.540501721971856e-12,-11463.015401363515,58,3656,2.1352187395095825,3.1557507514953613,0.010416666666666666,0.9895833333333334,3083.3333333333335,1,0.200154957415768,2123.454268587408,536.4696699509246,50.0,13000.0
h6_day04,6,4,4,-51503.654263794146,33319.62402304991,3163.2782868440995,660.0,81000.0,200,200,81,0.405,119,21,0.105,0,129,0.645,11.64734889257024,66,0.3274880523681641,0.9616004943847652,0.4475799088005442,1.1244621599966191,55.94748860006803,1.5424587230277921e-06,8.740874685722198e-05,1.0,125,96,29,7.25,0.0,5664.118932790399,71,24.0,0.0,0.0,4.93050045236032e-13,-17432.108536920096,40,2770,0.42160425583521527,1.554999828338623,0.0,1.0,2886.4895833333335,9,0.226564757311616,690.308867508586,122.4174044286824,0.0,18000.0
h6_day19,6,5,19,-53049.372030307335,36686.896526787765,4876.268557095268,860.0,84000.0,200,200,84,0.42,116,24,0.12,0,149,0.745,11.80615874781108,86,1.7364453226327896,2.987049865722653,1.865194866406,3.198097504999893,238.744942899968,7.4926627223858755e-06,9.986692186760574e-05,1.0,128,96,32,8.0,0.0,5156.941884627499,51,24.0,0.0,0.0,4.969635813978357e-13,-21526.181849697656,56,3409,2.3087083299954734,4.786499500274658,0.0,1.0,3007.6041666666665,1,0.20627767538509997,666.1376981163562,182.31954781401268,10.0,22000.0
h6_day13,6,6,13,-61058.72442964826,34761.654458204976,4140.378887853218,680.0,91000.0,200,200,91,0.455,109,25,0.125,0,146,0.73,12.797635207209773,68,0.30905172742646314,1.0352487564086914,0.4408633913792136,1.1958562750005512,51.140153399988776,2.769467893110206e-06,9.735357844607382e-05,1.0,116,96,20,5.0,0.0,5647.6999232027,54,24.0,0.0,0.0,4.936051567483446e-13,-22961.446097388714,56,3969,0.37142709891001385,1.1097493171691895,0.0,1.0,3017.0416666666665,6,0.225907996928108,69.053902611286,10.500000000000488,20.0,23000.0
h6_day14,6,7,14,-56997.18951768081,34669.53935092937,3986.7288686101697,680.0,87000.0,200,200,87,0.435,113,22,0.11,0,145,0.725,11.366910944602534,68,0.3518748623984201,0.9390497207641596,0.49948498482340903,1.1397161950022556,55.942318300221814,2.4788263062574377e-06,9.391872003044048e-05,1.0,112,96,16,4.0,0.0,5258.0617736523,55,24.0,0.0,0.0,4.981570711493077e-13,-19698.391097912732,49,3261,0.40791646639506024,0.9807496070861816,0.0,1.0,3257.3645833333335,4,0.210322470946092,326.4089020872692,4.800000000000288,20.0,20000.0
