period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,254
1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,252
2,0.5,0.0,301.8080078008192,0.0,0.0,0.0,301.8080078008192,301.8080078008192,301.8080078008192,0,3,0,0,0,0.0,254
3,0.75,0.0,104.60534331204357,4.902744876744691e-15,0.0,0.0,104.60534331204357,104.60534331204357,104.60534331204357,0,1,0,0,0,7.105427357601002e-15,251
4,1.0,0.0,0.0,4.902744876744691e-15,20.0,0.0,-20.000000000000004,-20.000000000000004,0.0,0,0,0,0,2,7.105427357601002e-15,252
5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,251
6,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,251
7,1.75,0.0,106.244440785693,0.0,0.0,0.0,106.244440785693,106.244440785693,106.244440785693,0,1,0,0,0,0.0,253
8,2.0,43.474804161693996,0.0,2.4513724383723455e-15,10.0,0.0,33.474804161693996,33.474804161693996,43.474804161693996,1,0,0,0,1,3.552713678800501e-15,252
9,2.25,0.0,0.0,9.769962616701378e-15,0.0,0.0,-9.769962616701378e-15,-9.769962616701378e-15,0.0,0,0,0,0,0,1.7763568394002505e-14,251
10,2.5,0.0,0.0,9.769962616701378e-15,0.0,0.0,-9.769962616701378e-15,-9.769962616701378e-15,0.0,0,0,0,0,0,1.7763568394002505e-14,251
11,2.75,107.34626273327,87.49126430824978,9.769962616701378e-15,0.0,0.0,194.83752704151976,194.83752704151976,194.83752704151976,1,1,0,0,0,1.7763568394002505e-14,255
12,3.0,0.0,0.0,9.769962616701378e-15,10.0,0.0,-10.000000000000009,-10.000000000000009,0.0,0,0,0,0,1,1.7763568394002505e-14,251
13,3.25,0.0,0.0,4.867217739956687e-15,0.0,0.0,-4.867217739956687e-15,-4.867217739956687e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,251
14,3.5,49.219999999908,0.0,4.867217739956687e-15,0.0,0.0,49.219999999908,49.219999999908,49.219999999908,1,0,0,0,0,1.0658141036401503e-14,252
15,3.75,0.0,0.0,4.867217739956687e-15,0.0,0.0,-4.867217739956687e-15,-4.867217739956687e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,252
16,4.0,123.31336692335398,0.0,2.415845301584341e-15,10.0,0.0,113.31336692335398,113.31336692335398,123.31336692335398,1,0,0,0,1,7.105427357601002e-15,253
17,4.25,244.95924111466198,0.0,4.867217739956687e-15,0.0,0.0,244.95924111466198,244.95924111466198,244.95924111466198,2,0,0,0,0,1.0658141036401503e-14,252
18,4.5,0.0,0.0,4.867217739956687e-15,0.0,0.0,-4.867217739956687e-15,-4.867217739956687e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,251
19,4.75,0.0,0.0,4.867217739956687e-15,0.0,0.0,-4.867217739956687e-15,-4.867217739956687e-15,0.0,0,0,0,0,0,1.0658141036401503e-14,251
20,5.0,165.561113709676,0.0,9.769962616701378e-15,20.0,0.0,145.561113709676,145.561113709676,165.561113709676,2,0,0,0,2,1.7763568394002505e-14,255
21,5.25,0.0,84.74655816540877,1.007194327939942e-14,0.0,0.0,84.74655816540877,84.74655816540877,84.74655816540877,0,1,0,0,0,1.865174681370263e-14,252
22,5.5,97.08668435458999,0.0,1.007194327939942e-14,0.0,0.0,97.08668435458999,97.08668435458999,97.08668435458999,1,0,0,0,0,1.865174681370263e-14,253
23,5.75,0.0,0.0,7.656097977815079e-15,0.0,0.0,-7.656097977815079e-15,-7.656097977815079e-15,0.0,0,0,0,0,0,1.509903313490213e-14,251
24,6.0,55.199999999999996,91.24534309999541,1.0293987884324451e-14,0.0,0.0,146.4453430999954,146.4453430999954,146.4453430999954,1,1,0,0,0,1.509903313490213e-14,255
25,6.25,177.286618742418,0.0,1.2709833185908791e-14,0.0,0.0,177.286618742418,177.286618742418,177.286618742418,2,0,0,0,0,1.865174681370263e-14,252
26,6.5,0.0,0.0,1.5196732761069142e-14,0.0,0.0,-1.5196732761069142e-14,-1.5196732761069142e-14,0.0,0,0,0,0,0,2.220446049250313e-14,250
27,6.75,0.0,0.0,2.0099477637813833e-14,0.0,0.0,-2.0099477637813833e-14,-2.0099477637813833e-14,0.0,0,0,0,0,0,2.930988785010413e-14,251
28,7.0,0.0,0.0,2.2586377212974184e-14,0.0,0.0,-2.2586377212974184e-14,-2.2586377212974184e-14,0.0,0,0,0,0,0,3.2862601528904634e-14,251
29,7.25,0.0,212.27023385200334,1.7683632336229494e-14,0.0,0.0,212.27023385200334,212.27023385200334,212.27023385200334,0,2,0,0,0,2.5757174171303632e-14,256
30,7.5,114.86389169461597,108.62531039810631,2.19912976717751e-14,0.0,0.0,223.48920209272228,223.48920209272228,223.48920209272228,1,1,0,0,0,3.197442310920451e-14,255
31,7.75,0.0,98.41951325664388,2.4371615836571434e-14,0.0,0.0,98.41951325664388,98.41951325664388,98.41951325664388,0,1,0,0,0,3.552713678800501e-14,254
32,8.0,0.0,132.15715315215726,3.0269120543380266e-14,0.0,0.0,132.15715315215726,132.15715315215726,132.15715315215726,0,1,0,0,0,3.907985046680551e-14,253
33,8.25,0.0,0.0,2.6405544417684727e-14,0.0,0.0,-2.6405544417684727e-14,-2.6405544417684727e-14,0.0,0,0,0,0,0,3.2862601528904634e-14,253
34,8.5,0.0,123.21606411784607,2.6263435870532703e-14,10.0,0.0,113.21606411784606,113.21606411784606,123.21606411784607,0,1,0,0,1,3.2862601528904634e-14,256
35,8.75,206.062981594452,0.0,3.116618074727739e-14,0.0,0.0,206.062981594452,206.062981594452,206.062981594452,2,0,0,0,0,3.9968028886505635e-14,260
36,9.0,93.113180528016,123.28354990475819,2.5162094630104553e-14,0.0,0.0,216.39673043277418,216.39673043277418,216.39673043277418,1,1,0,0,0,3.2862601528904634e-14,256
37,9.25,118.44148652693002,0.0,2.4318325131389425e-14,0.0,0.0,118.44148652693,118.44148652693,118.44148652693002,1,0,0,0,0,3.019806626980426e-14,256
38,9.5,160.74505006231598,0.0,3.398170633772679e-14,10.0,0.0,150.74505006231598,150.74505006231598,160.74505006231598,2,0,0,0,1,4.440892098500626e-14,259
39,9.75,107.82525549644198,0.0,2.404298982128239e-14,0.0,0.0,107.82525549644197,107.82525549644197,107.82525549644198,1,0,0,0,0,3.108624468950438e-14,256
40,10.0,67.62057283967499,342.3764153624152,5.207390074701835e-14,30.0,0.0,379.99698820209017,379.99698820209017,409.99698820209017,1,3,0,0,3,1.4654943925052066e-13,265
41,10.25,437.544641780755,239.02536352062663,2.447819724693545e-14,0.0,0.0,676.5700053013817,676.5700053013817,676.5700053013816,5,2,0,0,0,4.440892098500626e-14,262
42,10.5,119.209158001054,212.68466362040908,5.705658168153605e-14,0.0,0.0,331.893821621463,331.893821621463,331.8938216214631,2,2,0,0,0,9.592326932761353e-14,264
43,10.75,349.40944508303204,155.04864557023154,6.618705583605334e-14,0.0,0.0,504.45809065326347,504.45809065326347,504.4580906532636,6,2,0,0,0,1.1013412404281553e-13,264
44,11.0,88.422863717792,97.48609594040994,6.600000000000031,30.0,0.0,149.3089596582019,149.3089596582019,185.90895965820192,1,1,0,0,3,30.000000000000092,267
45,11.25,374.82126362061996,400.33583266165294,11.338344274927579,0.0,0.0,763.8187520073453,763.8187520073453,775.157096282273,5,4,0,0,0,51.5379285219029,265
46,11.5,172.634202085594,163.32331074698322,12.01042727791794,30.0,0.0,293.9470855546593,293.9470855546593,335.9575128325772,3,2,0,0,3,54.592851263263256,266
47,11.75,0.0,196.9218790250572,13.200000000000072,0.0,0.0,183.72187902505712,183.72187902505712,196.9218790250572,0,2,0,0,0,60.00000000000015,256
48,12.0,0.0,224.61150273517768,5.314978682709495,60.0,0.0,159.2965240524682,159.2965240524682,224.61150273517768,0,2,0,0,6,24.15899401231586,274
49,12.25,236.18264140466601,256.6079388443751,16.800000000000104,0.0,0.0,475.990580249041,475.990580249041,492.7905802490411,6,3,0,0,0,60.00000000000042,271
50,12.5,340.05586099588595,684.6901300948542,38.2818570869516,10.0,0.0,976.4641340037887,976.4641340037887,1024.74599109074,6,6,0,0,1,133.5201079056842,274
51,12.75,328.51707984196304,478.2578693660664,36.16491228071372,0.0,0.0,770.6100369273157,770.6100369273157,806.7749492080295,5,6,0,0,0,127.54385964915798,271
52,13.0,124.781645837655,182.9272838986271,33.891762941642135,10.0,0.0,263.8171667946399,263.8171667946399,307.70892973628213,3,2,0,0,1,120.85812629894745,267
53,13.25,550.75921106345,342.8445475318537,39.340881785858976,0.0,0.0,854.2628768094447,854.2628768094447,893.6037585953038,8,4,0,0,0,137.91309902663164,272
54,13.5,283.34104951749197,51.87905959777976,34.466268894679125,30.0,0.0,270.7538402205926,270.7538402205926,335.2201091152717,5,1,0,0,3,127.4007911102982,273
55,13.75,211.40447511366003,109.78977078383802,37.19999999999356,0.0,0.0,283.9942458975045,283.9942458975045,321.19424589749804,3,1,0,0,0,134.99999999997226,263
56,14.0,330.220432546248,885.0756660318127,67.70743723294325,20.0,0.0,1127.5886613451178,1127.5886613451178,1215.2960985780608,4,9,0,0,2,145.0232413529476,277
57,14.25,96.31999999988801,781.9342704932429,38.09343551935378,0.0,0.0,840.1608349737774,840.1608349737774,878.2542704931309,1,8,0,0,0,92.64927532356641,270
58,14.5,346.27957879644003,118.52919946427215,66.94825709530217,30.0,0.0,367.86052116541,367.86052116541,464.8087782607122,6,1,0,0,3,126.28841309547381,269
59,14.75,0.0,579.5568998678342,71.54214832302425,0.0,0.0,508.01475154480994,508.01475154480994,579.5568998678342,0,5,0,0,0,160.51066913884216,266
60,15.0,373.452422876313,219.2356697240643,91.34566415576644,10.0,0.0,491.34242844461085,491.34242844461085,592.6880926003773,5,2,0,1,1,133.23783338252645,273
61,15.25,78.227710949286,893.986787839153,103.95000000000007,0.0,0.0,868.264498788439,868.264498788439,972.214498788439,1,8,0,1,0,150.00000000000017,268
62,15.5,294.21465343571793,231.83197805567391,107.729463037536,20.0,0.0,398.3171684538559,398.3171684538559,526.0466314913918,3,2,0,1,2,155.44861727634765,266
63,15.75,0.0,0.0,119.42774260483147,0.0,0.0,-119.42774260483147,-119.42774260483147,0.0,0,0,0,3,0,172.21411971714724,265
64,16.0,602.841830866724,499.820316475248,145.95155835101806,40.0,0.0,916.7105889909541,916.7105889909541,1102.6621473419718,6,4,0,2,4,170.12877249631595,278
65,16.25,768.2697655209281,263.1391344598635,190.81140350860852,0.0,0.0,840.5974964721831,840.5974964721831,1031.4088999807916,7,2,0,1,0,220.78947368412008,275
66,16.5,500.865150308098,466.590345002416,223.43868066435786,40.0,0.0,704.0168146461564,704.0168146461564,967.4554953105139,6,4,0,0,4,249.19502865831583,279
67,16.75,113.9307652689,245.95294102262528,181.0830674051224,0.0,2000.0,-1821.1993611135972,-1821.1993611135972,359.8837062915253,1,2,2,3,0,192.0624429753687,270
68,17.0,455.838364797849,405.448524958605,109.5565117501423,10.0,0.0,741.7303780063119,741.7303780063119,861.286889756454,3,3,0,0,1,92.54696581273701,267
69,17.25,465.60625008978604,241.55748613412277,187.98079778864542,0.0,1000.0,-480.8170615647366,-480.8170615647366,707.1637362239088,3,2,1,0,0,158.92747787694748,268
70,17.5,898.6002046697129,311.2872664817936,126.07368421056965,60.0,0.0,1023.8137869409368,1023.8137869409368,1209.8874711515064,6,2,0,2,6,103.59649122810542,277
71,17.75,400.854549754382,695.5828656847106,128.54508692417897,0.0,0.0,967.8923285149135,967.8923285149135,1096.4374154390925,3,5,0,0,0,107.66558863964919,265
72,18.0,67.19999999949599,121.34601211252982,131.07484827069172,40.0,0.0,17.471163841334118,17.471163841334118,188.5460121120258,1,1,0,1,4,110.69171373168427,272
73,18.25,245.814804199734,288.9188749458346,156.60642583413804,0.0,1000.0,-621.8727466885692,-621.8727466885692,534.7336791455687,2,2,1,3,0,131.45272328284221,273
74,18.5,450.123464991176,460.6154747162776,147.19799318537702,20.0,1000.0,-256.45905347792313,-256.45905347792313,910.7389397074536,4,3,1,4,2,126.3205764023159,277
75,18.75,886.734974585196,269.3177673663468,95.80369198916574,0.0,2000.0,-939.7509500376229,-939.7509500376229,1156.0527419515429,6,2,2,1,0,83.22825617884759,272
76,19.0,0.0,142.9364355406646,193.35000000000014,40.0,1000.0,-1090.4135644593355,-1090.4135644593355,142.9364355406646,0,1,1,2,4,179.99999999999994,264
77,19.25,523.729481800777,160.26166148875745,123.08657154830324,0.0,0.0,560.9045717412315,560.9045717412315,683.9911432895344,4,1,0,3,0,114.34354407336849,275
78,19.5,539.6584285168619,139.7066623204488,111.43262739293341,20.0,1000.0,-452.06753655562227,-452.06753655562227,679.3650908373107,4,1,1,0,2,103.90203232079281,269
79,19.75,459.82223263037696,145.68665873665006,57.533788962982364,0.0,4000.0,-3452.024897595955,-3452.024897595955,605.508891367027,3,1,4,1,0,54.29088016136858,268
80,20.0,836.307659492772,154.73825193934965,16.050000000000136,30.0,2000.0,-1055.0040885678782,-1055.0040885678782,991.0459114321217,5,1,2,5,3,15.00000000000013,278
81,20.25,276.63592289930796,138.14759424348233,62.25000000000012,0.0,2000.0,-1647.4664828572097,-1647.4664828572097,414.7835171427903,2,1,2,0,0,60.00000000000007,260
82,20.5,107.42165928725402,0.0,94.66629339976352,10.0,3000.0,-2997.2446341125096,-2997.2446341125096,107.42165928725402,1,0,3,2,1,91.85893516941685,269
83,20.75,160.30682710486397,0.0,53.97324498720026,0.0,0.0,106.33358211766388,106.33358211766388,160.30682710486397,1,0,0,0,0,52.31554294589492,266
84,21.0,575.790979027098,98.75694523423171,137.332524316204,20.0,2000.0,-1482.7846000548743,-1482.7846000548743,674.5479242613297,5,1,2,5,2,148.79288030114668,274
85,21.25,551.276407199877,0.0,89.91787749032424,0.0,0.0,461.3585297095527,461.3585297095527,551.276407199877,4,0,0,1,0,99.67581129168424,267
86,21.5,159.160180715502,0.0,102.01117236540647,30.0,2000.0,-1972.8509916499045,-1972.8509916499045,159.160180715502,1,0,2,2,3,114.8073187402107,277
87,21.75,933.524984870841,0.0,49.90877193016846,0.0,3000.0,-2116.3837870593275,-2116.3837870593275,933.524984870841,8,0,3,2,0,68.07017543894742,276
88,22.0,124.67678187551098,58.36454894768734,83.18208923565265,10.0,6000.0,-5910.1407584124545,-5910.1407584124545,183.04133082319834,2,1,6,4,1,120.97441319378952,266
89,22.25,56.38243336418,68.57381492926567,86.45701754395796,0.0,3000.0,-2961.5007692505123,-2961.5007692505123,124.95624829344567,1,1,3,3,0,140.43859649136851,269
90,22.5,111.32000000004598,58.7907032209673,82.73596491208738,10.0,0.0,77.37473830892593,77.37473830892593,170.1107032210133,1,1,0,1,1,127.28070175389479,263
91,22.75,272.638256923614,0.0,94.93876420303985,0.0,4000.0,-3822.300507279426,-3822.300507279426,272.638256923614,3,0,4,3,0,164.70575337274414,268
92,23.0,316.07657635038504,55.352770252962216,17.379824561360028,20.0,3000.0,-2665.950477958013,-2665.950477958013,371.42934660334726,3,1,3,1,2,37.19298245600005,264
93,23.25,242.50673618115698,67.63169861190012,42.38439208304213,0.0,3000.0,-2732.245957289985,-2732.245957289985,310.1384347930571,2,1,3,0,0,85.6205601186316,261
94,23.5,210.090000000447,63.08958236770041,25.650000000000077,10.0,2000.0,-1762.4704176318528,-1762.4704176318528,273.1795823681474,2,1,2,0,1,45.000000000000156,262
95,23.75,67.546666666468,62.55634348010014,17.053508771905356,0.0,2000.0,-1886.9504986253373,-1886.9504986253373,130.10301014656812,1,1,2,1,0,32.719298245579154,261
96,24.0,0.0,0.0,15.057029390577942,20.0,2000.0,-2035.057029390578,-2035.057029390578,0.0,0,0,2,1,2,29.70009480831588,258
97,24.25,143.464672976247,0.0,15.150000000000013,0.0,4000.0,-3871.685327023753,-3871.685327023753,143.464672976247,1,0,4,1,0,30.00000000000002,261
98,24.5,175.302423596295,0.0,3.9399594697897555e-14,0.0,1000.0,-824.6975764037049,-824.6975764037049,175.302423596295,2,0,1,0,0,6.039613253960852e-14,256
99,24.75,0.0,0.0,2.984279490192421e-14,0.0,4000.0,-4000.0,-4000.0,0.0,0,0,4,0,0,4.263256414560601e-14,255
