station,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,260.279999999892,2352.500500297629,8.647660365568325e-13,0.0,0.0,2612.780500297521,2612.780500297521,2612.780500297521,2,20,0,0,0,1.0942358130705543e-12,3278
1,1716.708742735481,2206.1205901580734,564.4398095425565,0.0,0.0,3358.3895233509984,3358.3895233509984,3922.8293328935542,20,17,0,2,0,794.4097223661897,3312
2,5886.400699377217,683.8098840626573,2227.4726901050585,0.0,0.0,4342.737893334813,4342.737893334813,6570.210583439874,58,7,0,3,0,2657.830473293228,3370
3,3862.6293034869213,808.630781582438,2157.6318238985655,0.0,0.0,2513.6282611707934,2513.6282611707934,4671.26008506936,47,9,0,4,0,2533.271486964811,2766
4,3465.146626201572,507.3886747258239,650.451494556182,0.0,0.0,3322.083806371216,3322.083806371216,3972.535300927396,32,4,0,0,0,890.2384007795229,3012
5,1881.900048881735,1447.2627784521312,127.28947368413765,0.0,0.0,3201.873353649729,3201.873353649729,3329.1628273338665,15,12,0,0,0,181.84210526305355,3729
6,2715.6540607702805,1288.5796284298685,829.500780997231,0.0,0.0,3174.7329082029205,3174.7329082029205,4004.233689200149,26,12,0,0,0,984.7429088823679,3457
7,5285.62813096413,2583.8466475062323,3205.3389240911097,0.0,0.0,4664.135854379244,4664.135854379244,7869.474778470362,55,24,0,6,0,4085.5248218580296,3110
8,2959.4162717632144,3156.31356669785,1855.506698321981,0.0,0.0,4260.223140139075,4260.223140139075,6115.729838461064,38,28,0,5,0,1942.2704176080717,4258
9,7680.813957651998,2845.413029358011,3864.991344614442,0.0,0.0,6661.235642395594,6661.235642395594,10526.22698701001,74,24,0,4,0,5074.044836819283,4320
10,1848.168149672004,2127.364820316357,701.604063366284,0.0,0.0,3273.928906622072,3273.928906622072,3975.532969988361,29,19,0,0,0,1125.1901780523456,3330
