,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13
s1,0.0,47.0,241.0,361.0,528.0,599.0,664.0,786.0,906.0,1013.0,1119.0,-14.0,80.0,163.0,265.0,326.0,426.0,493.0,620.0,736.0,808.0,873.0,981.0,1126.0
s2,-47.0,0.0,194.0,314.0,481.0,552.0,617.0,739.0,859.0,966.0,1072.0,-61.0,33.0,116.0,218.0,279.0,379.0,446.0,573.0,689.0,761.0,826.0,934.0,1079.0
s3,-241.0,-194.0,0.0,120.0,287.0,358.0,423.0,545.0,665.0,772.0,878.0,-255.0,-161.0,-78.0,24.0,85.0,185.0,252.0,379.0,495.0,567.0,632.0,740.0,885.0
s4,-361.0,-314.0,-120.0,0.0,167.0,238.0,303.0,425.0,545.0,652.0,758.0,-375.0,-281.0,-198.0,-96.0,-35.0,65.0,132.0,259.0,375.0,447.0,512.0,620.0,765.0
s5,-528.0,-481.0,-287.0,-167.0,0.0,71.0,136.0,258.0,378.0,485.0,591.0,-542.0,-448.0,-365.0,-263.0,-202.0,-102.0,-35.0,92.0,208.0,280.0,345.0,453.0,598.0
s6,-599.0,-552.0,-358.0,-238.0,-71.0,0.0,65.0,187.0,307.0,414.0,520.0,-613.0,-519.0,-436.0,-334.0,-273.0,-173.0,-106.0,21.0,137.0,209.0,274.0,382.0,527.0
s7,-664.0,-617.0,-423.0,-303.0,-136.0,-65.0,0.0,122.0,242.0,349.0,455.0,-678.0,-584.0,-501.0,-399.0,-338.0,-238.0,-171.0,-44.0,72.0,144.0,209.0,317.0,462.0
s8,-786.0,-739.0,-545.0,-425.0,-258.0,-187.0,-122.0,0.0,120.0,227.0,333.0,-800.0,-706.0,-623.0,-521.0,-460.0,-360.0,-293.0,-166.0,-50.0,22.0,87.0,195.0,340.0
s9,-906.0,-859.0,-665.0,-545.0,-378.0,-307.0,-242.0,-120.0,0.0,107.0,213.0,-920.0,-826.0,-743.0,-641.0,-580.0,-480.0,-413.0,-286.0,-170.0,-98.0,-33.0,75.0,220.0
s10,-1013.0,-966.0,-772.0,-652.0,-485.0,-414.0,-349.0,-227.0,-107.0,0.0,106.0,-1027.0,-933.0,-850.0,-748.0,-687.0,-587.0,-520.0,-393.0,-277.0,-205.0,-140.0,-32.0,113.0
s11,-1119.0,-1072.0,-878.0,-758.0,-591.0,-520.0,-455.0,-333.0,-213.0,-106.0,0.0,-1133.0,-1039.0,-956.0,-854.0,-793.0,-693.0,-626.0,-499.0,-383.0,-311.0,-246.0,-138.0,7.0
e1,14.0,61.0,255.0,375.0,542.0,613.0,678.0,800.0,920.0,1027.0,1133.0,0.0,94.0,177.0,279.0,340.0,440.0,507.0,634.0,750.0,822.0,887.0,995.0,1140.0
e2,-80.0,-33.0,161.0,281.0,448.0,519.0,584.0,706.0,826.0,933.0,1039.0,-94.0,0.0,83.0,185.0,246.0,346.0,413.0,540.0,656.0,728.0,793.0,901.0,1046.0
e3,-163.0,-116.0,78.0,198.0,365.0,436.0,501.0,623.0,743.0,850.0,956.0,-177.0,-83.0,0.0,102.0,163.0,263.0,330.0,457.0,573.0,645.0,710.0,818.0,963.0
e4,-265.0,-218.0,-24.0,96.0,263.0,334.0,399.0,521.0,641.0,748.0,854.0,-279.0,-185.0,-102.0,0.0,61.0,161.0,228.0,355.0,471.0,543.0,608.0,716.0,861.0
e5,-326.0,-279.0,-85.0,35.0,202.0,273.0,338.0,460.0,580.0,687.0,793.0,-340.0,-246.0,-163.0,-61.0,0.0,100.0,167.0,294.0,410.0,482.0,547.0,655.0,800.0
e6,-426.0,-379.0,-185.0,-65.0,102.0,173.0,238.0,360.0,480.0,587.0,693.0,-440.0,-346.0,-263.0,-161.0,-100.0,0.0,67.0,194.0,310.0,382.0,447.0,555.0,700.0
e7,-493.0,-446.0,-252.0,-132.0,35.0,106.0,171.0,293.0,413.0,520.0,626.0,-507.0,-413.0,-330.0,-228.0,-167.0,-67.0,0.0,127.0,243.0,315.0,380.0,488.0,633.0
e8,-620.0,-573.0,-379.0,-259.0,-92.0,-21.0,44.0,166.0,286.0,393.0,499.0,-634.0,-540.0,-457.0,-355.0,-294.0,-194.0,-127.0,0.0,116.0,188.0,253.0,361.0,506.0
e9,-736.0,-689.0,-495.0,-375.0,-208.0,-137.0,-72.0,50.0,170.0,277.0,383.0,-750.0,-656.0,-573.0,-471.0,-410.0,-310.0,-243.0,-116.0,0.0,72.0,137.0,245.0,390.0
e10,-808.0,-761.0,-567.0,-447.0,-280.0,-209.0,-144.0,-22.0,98.0,205.0,311.0,-822.0,-728.0,-645.0,-543.0,-482.0,-382.0,-315.0,-188.0,-72.0,0.0,65.0,173.0,318.0
e11,-873.0,-826.0,-632.0,-512.0,-345.0,-274.0,-209.0,-87.0,33.0,140.0,246.0,-887.0,-793.0,-710.0,-608.0,-547.0,-447.0,-380.0,-253.0,-137.0,-65.0,0.0,108.0,253.0
e12,-981.0,-934.0,-740.0,-620.0,-453.0,-382.0,-317.0,-195.0,-75.0,32.0,138.0,-995.0,-901.0,-818.0,-716.0,-655.0,-555.0,-488.0,-361.0,-245.0,-173.0,-108.0,0.0,145.0
e13,-1126.0,-1079.0,-885.0,-765.0,-598.0,-527.0,-462.0,-340.0,-220.0,-113.0,-7.0,-1140.0,-1046.0,-963.0,-861.0,-800.0,-700.0,-633.0,-506.0,-390.0,-318.0,-253.0,-145.0,0.0
