period,time_hours,income_reservation,income_random,charging_cost,adjustment_cost,reservation_failure_cost,reward_delta,total_reward,income,reservation_services,random_services,reservation_failures,random_timeouts,path_adjustments,grid_energy_kwh,ledger_event_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,30
1,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,30
2,0.16666666666666666,0.0,0.0,0.7368421052631584,0.0,0.0,-0.7368421052631584,-0.7368421052631584,0.0,0,0,0,0,0,2.1052631578947385,31
3,0.25,0.0,90.25793879735421,1.1052631578947378,0.0,0.0,89.15267563945947,89.15267563945947,90.25793879735421,0,1,0,0,0,3.1578947368421084,31
4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,32
5,0.41666666666666663,0.0,0.0,5.25,0.0,0.0,-5.25,-5.25,0.0,0,0,0,0,0,15.0,30
6,0.5,0.0,0.0,10.223684210526326,0.0,0.0,-10.223684210526326,-10.223684210526326,0.0,0,0,0,0,0,29.2105263157895,30
7,0.5833333333333333,0.0,0.0,8.749999999999996,0.0,0.0,-8.749999999999996,-8.749999999999996,0.0,0,0,0,0,0,24.999999999999993,30
8,0.6666666666666666,0.0,0.0,4.605263157894741,0.0,0.0,-4.605263157894741,-4.605263157894741,0.0,0,0,0,0,0,13.157894736842117,30
9,0.75,0.0,0.0,2.1184210526315694,0.0,0.0,-2.1184210526315694,-2.1184210526315694,0.0,0,0,0,0,0,6.0526315789473415,31
10,0.8333333333333333,0.0,0.0,1.75,0.0,0.0,-1.75,-1.75,0.0,0,0,0,0,0,5.0,30
11,0.9166666666666666,0.0,0.0,2.486842105263142,0.0,0.0,-2.486842105263142,-2.486842105263142,0.0,0,0,0,0,0,7.105263157894692,30
12,1.0,0.0,0.0,3.499999999999999,0.0,0.0,-3.499999999999999,-3.499999999999999,0.0,0,0,0,0,0,9.999999999999998,30
13,1.0833333333333333,0.0,0.0,8.749999999999996,0.0,0.0,-8.749999999999996,-8.749999999999996,0.0,0,0,0,0,0,24.999999999999993,30
14,1.1666666666666665,0.0,0.0,5.249999999999998,0.0,0.0,-5.249999999999998,-5.249999999999998,0.0,0,0,0,0,0,14.999999999999996,30
15,1.25,0.0,0.0,5.986842105263157,0.0,0.0,-5.986842105263157,-5.986842105263157,0.0,0,0,0,0,0,17.105263157894733,31
16,1.3333333333333333,0.0,0.0,13.7107706834,0.0,0.0,-13.7107706834,-13.7107706834,0.0,0,0,0,0,0,39.173630524000004,30
17,1.4166666666666665,0.0,0.0,13.999999999999998,0.0,0.0,-13.999999999999998,-13.999999999999998,0.0,0,0,0,0,0,40.0,30
18,1.5,0.0,0.0,12.25,0.0,0.0,-12.25,-12.25,0.0,0,0,0,0,0,35.0,30
19,1.5833333333333333,0.0,0.0,8.749999999999968,0.0,0.0,-8.749999999999968,-8.749999999999968,0.0,0,0,0,0,0,24.999999999999915,30
20,1.6666666666666665,0.0,0.0,8.749999999998348,0.0,0.0,-8.749999999998348,-8.749999999998348,0.0,0,0,0,0,0,24.999999999995282,30
21,1.75,0.0,0.0,10.684210526315924,2.0,0.0,-12.684210526315926,-12.684210526315926,0.0,0,0,0,0,2,30.52631578947407,32
22,1.8333333333333333,0.0,0.0,15.934210367324559,0.0,0.0,-15.934210367324559,-15.934210367324559,0.0,0,0,0,0,0,45.52631533521303,32
23,1.9166666666666665,98.12351081976,0.0,8.749999999999996,0.0,0.0,89.37351081976,89.37351081976,98.12351081976,1,0,0,0,0,24.999999999999993,32
24,2.0,0.0,0.0,0.0,2.0,0.0,-2.0,-2.0,0.0,0,0,0,0,2,0.0,32
25,2.083333333333333,0.0,0.0,2.052631578947359,0.0,0.0,-2.052631578947359,-2.052631578947359,0.0,0,0,0,0,0,3.1578947368420907,30
26,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,30
27,2.25,0.0,0.0,3.25,0.0,0.0,-3.25,-3.25,0.0,0,0,0,0,0,5.0,31
28,2.333333333333333,0.0,104.30823666150873,16.25,0.0,0.0,88.05823666150873,88.05823666150873,104.30823666150873,0,1,0,0,0,25.0,31
29,2.4166666666666665,0.0,0.0,12.99999999999958,0.0,0.0,-12.99999999999958,-12.99999999999958,0.0,0,0,0,0,0,19.999999999999353,30
30,2.5,0.0,0.0,3.25,2.0,0.0,-5.25,-5.25,0.0,0,0,0,0,2,5.0,32
31,2.583333333333333,0.0,0.0,6.5,0.0,0.0,-6.5,-6.5,0.0,0,0,0,0,0,10.0,30
32,2.6666666666666665,0.0,0.0,6.4999999999998845,0.0,0.0,-6.4999999999998845,-6.4999999999998845,0.0,0,0,0,0,0,9.999999999999822,30
33,2.75,0.0,0.0,8.552631578947365,1.0,0.0,-9.552631578947365,-9.552631578947365,0.0,0,0,0,0,1,13.157894736842099,33
34,2.833333333333333,193.56601884108,0.0,12.9999999999999,0.0,0.0,180.5660188410801,180.5660188410801,193.56601884108,2,0,0,0,0,19.999999999999844,32
35,2.9166666666666665,0.0,0.0,12.999999999999998,0.0,0.0,-12.999999999999998,-12.999999999999998,0.0,0,0,0,0,0,19.999999999999996,31
36,3.0,0.0,0.0,0.0,2.0,0.0,-2.0,-2.0,0.0,0,0,0,0,2,0.0,32
37,3.083333333333333,95.03854309715999,0.0,0.0,0.0,0.0,95.03854309715999,95.03854309715999,95.03854309715999,1,0,0,0,0,0.0,31
